SMTSD	data	variable	value
Kidney - Medulla	med_diff_adj	XG	-0.716566866267465
Liver	med_diff_adj	XG	1.05332239540607
Lung	med_diff_adj	XG	0.22337962962963
Minor Salivary Gland	med_diff_adj	XG	0.952936816750046
Muscle - Skeletal	med_diff_adj	XG	0.0527234636871508
Nerve - Tibial	med_diff_adj	XG	0.170624746997706
Pancreas	med_diff_adj	XG	0.266326657544471
Pituitary	med_diff_adj	XG	0.03540437348143
Skin - Not Sun Exposed (Suprapubic)	med_diff_adj	XG	0.733824302998422
Skin - Sun Exposed (Lower leg)	med_diff_adj	XG	0.763986784140969
Small Intestine - Terminal Ileum	med_diff_adj	XG	0.0706666666666667
Spleen	med_diff_adj	XG	0.429641185647426
Stomach	med_diff_adj	XG	0.19483282674772
Thyroid	med_diff_adj	XG	0.0412076703386373
Whole Blood	med_diff_adj	XG	0.83062176819271
Adipose - Subcutaneous	male_med	XG	22.29
Adipose - Visceral (Omentum)	male_med	XG	2.806
Adrenal Gland	male_med	XG	0.02681
Artery - Aorta	male_med	XG	18.31
Artery - Coronary	male_med	XG	5.33
Artery - Tibial	male_med	XG	13.36
Bladder	male_med	XG	3.5045
Brain - Amygdala	male_med	XG	0.04356
Brain - Anterior cingulate cortex (BA24)	male_med	XG	0.03313
Brain - Caudate (basal ganglia)	male_med	XG	0.02509
Brain - Cerebellar Hemisphere	male_med	XG	0.03424
Brain - Cerebellum	male_med	XG	0.04016
Brain - Cortex	male_med	XG	0.03648
Brain - Frontal Cortex (BA9)	male_med	XG	0.03282
Brain - Hippocampus	male_med	XG	0.068
Brain - Hypothalamus	male_med	XG	0.06945
Brain - Nucleus accumbens (basal ganglia)	male_med	XG	0.033955
Brain - Putamen (basal ganglia)	male_med	XG	0.01453
Brain - Spinal cord (cervical c-1)	male_med	XG	0.24365
Brain - Substantia nigra	male_med	XG	0.05871
Breast - Mammary Tissue	male_med	XG	9.758
Cells - Cultured fibroblasts	male_med	XG	36.19
Cells - EBV-transformed lymphocytes	male_med	XG	0.038155
Colon - Sigmoid	male_med	XG	0.404
Colon - Transverse	male_med	XG	0.2567
Esophagus - Gastroesophageal Junction	male_med	XG	1.343
Esophagus - Mucosa	male_med	XG	10.8
Esophagus - Muscularis	male_med	XG	0.6371
Heart - Atrial Appendage	male_med	XG	1.448
Heart - Left Ventricle	male_med	XG	0.1664
Kidney - Cortex	male_med	XG	0.24365
Kidney - Medulla	male_med	XG	0.4509
Liver	male_med	XG	0.3657
Lung	male_med	XG	0.6912
Minor Salivary Gland	male_med	XG	5.397
Muscle - Skeletal	male_med	XG	1.432
Nerve - Tibial	male_med	XG	7.411
Pancreas	male_med	XG	0.08039
Pituitary	male_med	XG	0.2881
Skin - Not Sun Exposed (Suprapubic)	male_med	XG	38.02
Skin - Sun Exposed (Lower leg)	male_med	XG	45.4
Small Intestine - Terminal Ileum	male_med	XG	0.225
Spleen	male_med	XG	0.16025
Stomach	male_med	XG	0.1645
Thyroid	male_med	XG	2.451
Whole Blood	male_med	XG	0.07929
Adipose - Subcutaneous	female_med	XG	29.8
Adipose - Visceral (Omentum)	female_med	XG	3.782
Adrenal Gland	female_med	XG	0.03034
Artery - Aorta	female_med	XG	19.51
Artery - Coronary	female_med	XG	5.301
Artery - Tibial	female_med	XG	14.79
Bladder	female_med	XG	2.697
Brain - Amygdala	female_med	XG	0.05341
Brain - Anterior cingulate cortex (BA24)	female_med	XG	0.02691
Brain - Caudate (basal ganglia)	female_med	XG	0.03696
Brain - Cerebellar Hemisphere	female_med	XG	0.05649
Brain - Cerebellum	female_med	XG	0.04762
Brain - Cortex	female_med	XG	0.054255
Brain - Frontal Cortex (BA9)	female_med	XG	0.03346
Brain - Hippocampus	female_med	XG	0.053325
Brain - Hypothalamus	female_med	XG	0.07
Brain - Nucleus accumbens (basal ganglia)	female_med	XG	0.047765
Brain - Putamen (basal ganglia)	female_med	XG	0.02727
Brain - Spinal cord (cervical c-1)	female_med	XG	0.2399
Brain - Substantia nigra	female_med	XG	0.062375
Breast - Mammary Tissue	female_med	XG	9.5795
Cells - Cultured fibroblasts	female_med	XG	61.305
Cells - EBV-transformed lymphocytes	female_med	XG	0.04354
Colon - Sigmoid	female_med	XG	0.5292
Colon - Transverse	female_med	XG	0.2907
Esophagus - Gastroesophageal Junction	female_med	XG	1.481
Esophagus - Mucosa	female_med	XG	12.295
Esophagus - Muscularis	female_med	XG	0.7407
Heart - Atrial Appendage	female_med	XG	1.1445
Heart - Left Ventricle	female_med	XG	0.18745
Kidney - Cortex	female_med	XG	0.1497
Kidney - Medulla	female_med	XG	0.1278
Liver	female_med	XG	0.7509
Lung	female_med	XG	0.8456
Minor Salivary Gland	female_med	XG	10.54
Muscle - Skeletal	female_med	XG	1.5075
Nerve - Tibial	female_med	XG	8.6755
Pancreas	female_med	XG	0.1018
Pituitary	female_med	XG	0.2983
Skin - Not Sun Exposed (Suprapubic)	female_med	XG	65.92
Skin - Sun Exposed (Lower leg)	female_med	XG	80.085
Small Intestine - Terminal Ileum	female_med	XG	0.2409
Spleen	female_med	XG	0.2291
Stomach	female_med	XG	0.19655
Thyroid	female_med	XG	2.552
Whole Blood	female_med	XG	0.14515
Adipose - Subcutaneous	med_diff_adj	GYG2	1.61429758935993
Adipose - Visceral (Omentum)	med_diff_adj	GYG2	1.12162654996353
Adrenal Gland	med_diff_adj	GYG2	0.194817658349328
Artery - Aorta	med_diff_adj	GYG2	0.549382716049383
Artery - Coronary	med_diff_adj	GYG2	0.828747628083491
Artery - Tibial	med_diff_adj	GYG2	0.308733087330873
Bladder	med_diff_adj	GYG2	0.23220536756126
Brain - Amygdala	med_diff_adj	GYG2	0.114479874542603
Brain - Anterior cingulate cortex (BA24)	med_diff_adj	GYG2	-0.0357921871901647
Brain - Caudate (basal ganglia)	med_diff_adj	GYG2	0.352281825460368
Brain - Cerebellar Hemisphere	med_diff_adj	GYG2	0.0931686489783472
Brain - Cerebellum	med_diff_adj	GYG2	0.0749054820415879
Brain - Cortex	med_diff_adj	GYG2	0.0159208261617901
Brain - Frontal Cortex (BA9)	med_diff_adj	GYG2	-0.0339183260209248
Brain - Hippocampus	med_diff_adj	GYG2	-0.00892292114922162
Brain - Hypothalamus	med_diff_adj	GYG2	0.0148861646234676
Brain - Nucleus accumbens (basal ganglia)	med_diff_adj	GYG2	0.0982658959537571
Brain - Putamen (basal ganglia)	med_diff_adj	GYG2	0.0600354096249799
Brain - Spinal cord (cervical c-1)	med_diff_adj	GYG2	0.359663865546219
Brain - Substantia nigra	med_diff_adj	GYG2	0.165648336727767
Breast - Mammary Tissue	med_diff_adj	GYG2	0.242943854324734
Cells - Cultured fibroblasts	med_diff_adj	GYG2	0.384833333333334
Cells - EBV-transformed lymphocytes	med_diff_adj	GYG2	0.247631080227416
Colon - Sigmoid	med_diff_adj	GYG2	0.111429155591903
Colon - Transverse	med_diff_adj	GYG2	0.44757796947578
Esophagus - Gastroesophageal Junction	med_diff_adj	GYG2	0.16640625
Esophagus - Mucosa	med_diff_adj	GYG2	0.207557306590258
Esophagus - Muscularis	med_diff_adj	GYG2	0.200946943322657
Heart - Atrial Appendage	med_diff_adj	GYG2	0.357998650016875
Heart - Left Ventricle	med_diff_adj	GYG2	0.206778834430627
Kidney - Cortex	med_diff_adj	GYG2	0.124731841863316
Kidney - Medulla	med_diff_adj	GYG2	0.346425362597869
Liver	med_diff_adj	GYG2	1.11026615969582
Lung	med_diff_adj	GYG2	0.341845338472657
Minor Salivary Gland	med_diff_adj	GYG2	0.407264130668386
Muscle - Skeletal	med_diff_adj	GYG2	1.32748538011696
Nerve - Tibial	med_diff_adj	GYG2	0.47833885209713
Pancreas	med_diff_adj	GYG2	0.274898602974313
Pituitary	med_diff_adj	GYG2	-0.0186116700201207
Skin - Not Sun Exposed (Suprapubic)	med_diff_adj	GYG2	0.646523178807947
Skin - Sun Exposed (Lower leg)	med_diff_adj	GYG2	1.11787709497207
Small Intestine - Terminal Ileum	med_diff_adj	GYG2	0.410949868073878
Spleen	med_diff_adj	GYG2	0.17039641943734
Stomach	med_diff_adj	GYG2	0.439040832049307
Thyroid	med_diff_adj	GYG2	-0.0628120893561104
Whole Blood	med_diff_adj	GYG2	0.226190476190476
Adipose - Subcutaneous	male_med	GYG2	60.15
Adipose - Visceral (Omentum)	male_med	GYG2	54.84
Adrenal Gland	male_med	GYG2	1.042
Artery - Aorta	male_med	GYG2	1.944
Artery - Coronary	male_med	GYG2	3.162
Artery - Tibial	male_med	GYG2	1.2195
Bladder	male_med	GYG2	4.285
Brain - Amygdala	male_med	GYG2	5.739
Brain - Anterior cingulate cortex (BA24)	male_med	GYG2	5.043
Brain - Caudate (basal ganglia)	male_med	GYG2	3.747
Brain - Cerebellar Hemisphere	male_med	GYG2	3.279
Brain - Cerebellum	male_med	GYG2	4.232
Brain - Cortex	male_med	GYG2	5.81
Brain - Frontal Cortex (BA9)	male_med	GYG2	5.926
Brain - Hippocampus	male_med	GYG2	7.901
Brain - Hypothalamus	male_med	GYG2	11.42
Brain - Nucleus accumbens (basal ganglia)	male_med	GYG2	4.498
Brain - Putamen (basal ganglia)	male_med	GYG2	3.1065
Brain - Spinal cord (cervical c-1)	male_med	GYG2	29.75
Brain - Substantia nigra	male_med	GYG2	14.73
Breast - Mammary Tissue	male_med	GYG2	32.95
Cells - Cultured fibroblasts	male_med	GYG2	3
Cells - EBV-transformed lymphocytes	male_med	GYG2	0.01583
Colon - Sigmoid	male_med	GYG2	2.4455
Colon - Transverse	male_med	GYG2	3.014
Esophagus - Gastroesophageal Junction	male_med	GYG2	2.56
Esophagus - Mucosa	male_med	GYG2	0.5584
Esophagus - Muscularis	male_med	GYG2	3.5905
Heart - Atrial Appendage	male_med	GYG2	0.5926
Heart - Left Ventricle	male_med	GYG2	0.20505
Kidney - Cortex	male_med	GYG2	0.9789
Kidney - Medulla	male_med	GYG2	0.7791
Liver	male_med	GYG2	10.52
Lung	male_med	GYG2	0.8302
Minor Salivary Gland	male_med	GYG2	4.653
Muscle - Skeletal	male_med	GYG2	0.1197
Nerve - Tibial	male_med	GYG2	3.624
Pancreas	male_med	GYG2	2.219
Pituitary	male_med	GYG2	1.988
Skin - Not Sun Exposed (Suprapubic)	male_med	GYG2	1.208
Skin - Sun Exposed (Lower leg)	male_med	GYG2	1.79
Small Intestine - Terminal Ileum	male_med	GYG2	1.516
Spleen	male_med	GYG2	0.3128
Stomach	male_med	GYG2	5.192
Thyroid	male_med	GYG2	1.9025
Whole Blood	male_med	GYG2	0.03234
Adipose - Subcutaneous	female_med	GYG2	157.25
Adipose - Visceral (Omentum)	female_med	GYG2	116.35
Adrenal Gland	female_med	GYG2	1.245
Artery - Aorta	female_med	GYG2	3.012
Artery - Coronary	female_med	GYG2	5.7825
Artery - Tibial	female_med	GYG2	1.596
Bladder	female_med	GYG2	5.28
Brain - Amygdala	female_med	GYG2	6.396
Brain - Anterior cingulate cortex (BA24)	female_med	GYG2	4.8625
Brain - Caudate (basal ganglia)	female_med	GYG2	5.067
Brain - Cerebellar Hemisphere	female_med	GYG2	3.5845
Brain - Cerebellum	female_med	GYG2	4.549
Brain - Cortex	female_med	GYG2	5.9025
Brain - Frontal Cortex (BA9)	female_med	GYG2	5.725
Brain - Hippocampus	female_med	GYG2	7.8305
Brain - Hypothalamus	female_med	GYG2	11.59
Brain - Nucleus accumbens (basal ganglia)	female_med	GYG2	4.94
Brain - Putamen (basal ganglia)	female_med	GYG2	3.293
Brain - Spinal cord (cervical c-1)	female_med	GYG2	40.45
Brain - Substantia nigra	female_med	GYG2	17.17
Breast - Mammary Tissue	female_med	GYG2	40.955
Cells - Cultured fibroblasts	female_med	GYG2	4.1545
Cells - EBV-transformed lymphocytes	female_med	GYG2	0.01975
Colon - Sigmoid	female_med	GYG2	2.718
Colon - Transverse	female_med	GYG2	4.363
Esophagus - Gastroesophageal Junction	female_med	GYG2	2.986
Esophagus - Mucosa	female_med	GYG2	0.6743
Esophagus - Muscularis	female_med	GYG2	4.312
Heart - Atrial Appendage	female_med	GYG2	0.80475
Heart - Left Ventricle	female_med	GYG2	0.24745
Kidney - Cortex	female_med	GYG2	1.101
Kidney - Medulla	female_med	GYG2	1.049
Liver	female_med	GYG2	22.2
Lung	female_med	GYG2	1.114
Minor Salivary Gland	female_med	GYG2	6.548
Muscle - Skeletal	female_med	GYG2	0.2786
Nerve - Tibial	female_med	GYG2	5.3575
Pancreas	female_med	GYG2	2.829
Pituitary	female_med	GYG2	1.951
Skin - Not Sun Exposed (Suprapubic)	female_med	GYG2	1.989
Skin - Sun Exposed (Lower leg)	female_med	GYG2	3.791
Small Intestine - Terminal Ileum	female_med	GYG2	2.139
Spleen	female_med	GYG2	0.3661
Stomach	female_med	GYG2	7.4715
Thyroid	female_med	GYG2	1.783
Whole Blood	female_med	GYG2	0.039655
Adipose - Subcutaneous	med_diff_adj	ARSD	0.344199424736337
Adipose - Visceral (Omentum)	med_diff_adj	ARSD	0.275866291171789
Adrenal Gland	med_diff_adj	ARSD	0.095177304964539
Artery - Aorta	med_diff_adj	ARSD	0.449805879090405
Artery - Coronary	med_diff_adj	ARSD	0.177133050892905
Artery - Tibial	med_diff_adj	ARSD	0.114452050412642
Bladder	med_diff_adj	ARSD	-0.0859699584531799
Brain - Amygdala	med_diff_adj	ARSD	0.162006893910379
Brain - Anterior cingulate cortex (BA24)	med_diff_adj	ARSD	0.156994502138058
Brain - Caudate (basal ganglia)	med_diff_adj	ARSD	0.0595325054784514
Brain - Cerebellar Hemisphere	med_diff_adj	ARSD	0.198272398553636
Brain - Cerebellum	med_diff_adj	ARSD	0.12521281535366
Brain - Cortex	med_diff_adj	ARSD	0.0897435897435898
Brain - Frontal Cortex (BA9)	med_diff_adj	ARSD	0.0531400966183574
Brain - Hippocampus	med_diff_adj	ARSD	0.0650477016478751
Brain - Hypothalamus	med_diff_adj	ARSD	0.133850931677019
Brain - Nucleus accumbens (basal ganglia)	med_diff_adj	ARSD	0.097253155159614
Brain - Putamen (basal ganglia)	med_diff_adj	ARSD	0.0534286916281028
Brain - Spinal cord (cervical c-1)	med_diff_adj	ARSD	0.118689274147457
Brain - Substantia nigra	med_diff_adj	ARSD	0.0976284584980239
Breast - Mammary Tissue	med_diff_adj	ARSD	0.784902597402597
Cells - Cultured fibroblasts	med_diff_adj	ARSD	0.299467641588095
Cells - EBV-transformed lymphocytes	med_diff_adj	ARSD	-0.0424723756906077
Colon - Sigmoid	med_diff_adj	ARSD	0.219802887921155
Colon - Transverse	med_diff_adj	ARSD	0.924528301886792
Esophagus - Gastroesophageal Junction	med_diff_adj	ARSD	0.189605389797883
Esophagus - Mucosa	med_diff_adj	ARSD	0.40254652301665
Esophagus - Muscularis	med_diff_adj	ARSD	0.238807800809518
Heart - Atrial Appendage	med_diff_adj	ARSD	0.0712002840909092
Heart - Left Ventricle	med_diff_adj	ARSD	0.237313432835821
Kidney - Cortex	med_diff_adj	ARSD	0.27027027027027
Kidney - Medulla	med_diff_adj	ARSD	-0.410719403840642
Liver	med_diff_adj	ARSD	0.796551724137931
Lung	med_diff_adj	ARSD	0.472555746140652
Minor Salivary Gland	med_diff_adj	ARSD	0.374436090225564
Muscle - Skeletal	med_diff_adj	ARSD	0.317869703567242
Nerve - Tibial	med_diff_adj	ARSD	0.145833333333333
Pancreas	med_diff_adj	ARSD	0.408544726301736
Pituitary	med_diff_adj	ARSD	0.0246011160889728
Skin - Not Sun Exposed (Suprapubic)	med_diff_adj	ARSD	0.138392857142857
Skin - Sun Exposed (Lower leg)	med_diff_adj	ARSD	0.166649436576036
Small Intestine - Terminal Ileum	med_diff_adj	ARSD	0.411406181976491
Spleen	med_diff_adj	ARSD	0.0962738352090501
Stomach	med_diff_adj	ARSD	0.77536552946389
Thyroid	med_diff_adj	ARSD	0.215106732348112
Whole Blood	med_diff_adj	ARSD	0.59718353450944
Adipose - Subcutaneous	male_med	ARSD	10.43
Adipose - Visceral (Omentum)	male_med	ARSD	8.167
Adrenal Gland	male_med	ARSD	7.05
Artery - Aorta	male_med	ARSD	9.015
Artery - Coronary	male_med	ARSD	9.3235
Artery - Tibial	male_med	ARSD	7.8155
Bladder	male_med	ARSD	15.645
Brain - Amygdala	male_med	ARSD	2.611
Brain - Anterior cingulate cortex (BA24)	male_med	ARSD	2.4555
Brain - Caudate (basal ganglia)	male_med	ARSD	2.738
Brain - Cerebellar Hemisphere	male_med	ARSD	2.489
Brain - Cerebellum	male_med	ARSD	3.2305
Brain - Cortex	male_med	ARSD	2.73
Brain - Frontal Cortex (BA9)	male_med	ARSD	2.484
Brain - Hippocampus	male_med	ARSD	2.306
Brain - Hypothalamus	male_med	ARSD	3.22
Brain - Nucleus accumbens (basal ganglia)	male_med	ARSD	2.694
Brain - Putamen (basal ganglia)	male_med	ARSD	2.377
Brain - Spinal cord (cervical c-1)	male_med	ARSD	2.6245
Brain - Substantia nigra	male_med	ARSD	2.53
Breast - Mammary Tissue	male_med	ARSD	12.32
Cells - Cultured fibroblasts	male_med	ARSD	7.7955
Cells - EBV-transformed lymphocytes	male_med	ARSD	1.448
Colon - Sigmoid	male_med	ARSD	6.5445
Colon - Transverse	male_med	ARSD	10.07
Esophagus - Gastroesophageal Junction	male_med	ARSD	8.312
Esophagus - Mucosa	male_med	ARSD	10.21
Esophagus - Muscularis	male_med	ARSD	8.153
Heart - Atrial Appendage	male_med	ARSD	2.816
Heart - Left Ventricle	male_med	ARSD	2.01
Kidney - Cortex	male_med	ARSD	14.06
Kidney - Medulla	male_med	ARSD	34.89
Liver	male_med	ARSD	11.6
Lung	male_med	ARSD	11.66
Minor Salivary Gland	male_med	ARSD	19.95
Muscle - Skeletal	male_med	ARSD	0.5971
Nerve - Tibial	male_med	ARSD	12.24
Pancreas	male_med	ARSD	14.98
Pituitary	male_med	ARSD	6.3615
Skin - Not Sun Exposed (Suprapubic)	male_med	ARSD	8.736
Skin - Sun Exposed (Lower leg)	male_med	ARSD	9.673
Small Intestine - Terminal Ileum	male_med	ARSD	11.485
Spleen	male_med	ARSD	8.5745
Stomach	male_med	ARSD	22.57
Thyroid	male_med	ARSD	21.315
Whole Blood	male_med	ARSD	3.231
Adipose - Subcutaneous	female_med	ARSD	14.02
Adipose - Visceral (Omentum)	female_med	ARSD	10.42
Adrenal Gland	female_med	ARSD	7.721
Artery - Aorta	female_med	ARSD	13.07
Artery - Coronary	female_med	ARSD	10.975
Artery - Tibial	female_med	ARSD	8.71
Bladder	female_med	ARSD	14.3
Brain - Amygdala	female_med	ARSD	3.034
Brain - Anterior cingulate cortex (BA24)	female_med	ARSD	2.841
Brain - Caudate (basal ganglia)	female_med	ARSD	2.901
Brain - Cerebellar Hemisphere	female_med	ARSD	2.9825
Brain - Cerebellum	female_med	ARSD	3.635
Brain - Cortex	female_med	ARSD	2.975
Brain - Frontal Cortex (BA9)	female_med	ARSD	2.616
Brain - Hippocampus	female_med	ARSD	2.456
Brain - Hypothalamus	female_med	ARSD	3.651
Brain - Nucleus accumbens (basal ganglia)	female_med	ARSD	2.956
Brain - Putamen (basal ganglia)	female_med	ARSD	2.504
Brain - Spinal cord (cervical c-1)	female_med	ARSD	2.936
Brain - Substantia nigra	female_med	ARSD	2.777
Breast - Mammary Tissue	female_med	ARSD	21.99
Cells - Cultured fibroblasts	female_med	ARSD	10.13
Cells - EBV-transformed lymphocytes	female_med	ARSD	1.3865
Colon - Sigmoid	female_med	ARSD	7.983
Colon - Transverse	female_med	ARSD	19.38
Esophagus - Gastroesophageal Junction	female_med	ARSD	9.888
Esophagus - Mucosa	female_med	ARSD	14.32
Esophagus - Muscularis	female_med	ARSD	10.1
Heart - Atrial Appendage	female_med	ARSD	3.0165
Heart - Left Ventricle	female_med	ARSD	2.487
Kidney - Cortex	female_med	ARSD	17.86
Kidney - Medulla	female_med	ARSD	20.56
Liver	female_med	ARSD	20.84
Lung	female_med	ARSD	17.17
Minor Salivary Gland	female_med	ARSD	27.42
Muscle - Skeletal	female_med	ARSD	0.7869
Nerve - Tibial	female_med	ARSD	14.025
Pancreas	female_med	ARSD	21.1
Pituitary	female_med	ARSD	6.518
Skin - Not Sun Exposed (Suprapubic)	female_med	ARSD	9.945
Skin - Sun Exposed (Lower leg)	female_med	ARSD	11.285
Small Intestine - Terminal Ileum	female_med	ARSD	16.21
Spleen	female_med	ARSD	9.4
Stomach	female_med	ARSD	40.07
Thyroid	female_med	ARSD	25.9
Whole Blood	female_med	ARSD	5.1605
Bladder	med_diff_adj	ARSH	2.74701069855255
Esophagus - Mucosa	med_diff_adj	ARSH	0.381036305956997
Kidney - Medulla	med_diff_adj	ARSH	-0.676064279672963
Minor Salivary Gland	med_diff_adj	ARSH	0.0435823754789272
Pancreas	med_diff_adj	ARSH	-0.158391714894913
Skin - Not Sun Exposed (Suprapubic)	med_diff_adj	ARSH	0.0539043501756281
Skin - Sun Exposed (Lower leg)	med_diff_adj	ARSH	0.117440694954895
Stomach	med_diff_adj	ARSH	1.33877038895859
Adipose - Subcutaneous	male_med	ARSH	0
Adipose - Visceral (Omentum)	male_med	ARSH	0
Adrenal Gland	male_med	ARSH	0
Artery - Aorta	male_med	ARSH	0
Artery - Coronary	male_med	ARSH	0
Artery - Tibial	male_med	ARSH	0
Bladder	male_med	ARSH	0.007945
Brain - Amygdala	male_med	ARSH	0
Brain - Anterior cingulate cortex (BA24)	male_med	ARSH	0
Brain - Caudate (basal ganglia)	male_med	ARSH	0
Brain - Cerebellar Hemisphere	male_med	ARSH	0
Brain - Cerebellum	male_med	ARSH	0
Brain - Cortex	male_med	ARSH	0
Brain - Frontal Cortex (BA9)	male_med	ARSH	0
Brain - Hippocampus	male_med	ARSH	0
Brain - Hypothalamus	male_med	ARSH	0
Brain - Nucleus accumbens (basal ganglia)	male_med	ARSH	0
Brain - Putamen (basal ganglia)	male_med	ARSH	0
Brain - Spinal cord (cervical c-1)	male_med	ARSH	0
Brain - Substantia nigra	male_med	ARSH	0
Breast - Mammary Tissue	male_med	ARSH	0
Cells - Cultured fibroblasts	male_med	ARSH	0
Cells - EBV-transformed lymphocytes	male_med	ARSH	0
Colon - Sigmoid	male_med	ARSH	0
Colon - Transverse	male_med	ARSH	0
Esophagus - Gastroesophageal Junction	male_med	ARSH	0
Esophagus - Mucosa	male_med	ARSH	0.2837
Esophagus - Muscularis	male_med	ARSH	0
Heart - Atrial Appendage	male_med	ARSH	0
Heart - Left Ventricle	male_med	ARSH	0
Kidney - Cortex	male_med	ARSH	0
Kidney - Medulla	male_med	ARSH	0.07094
Liver	male_med	ARSH	0
Lung	male_med	ARSH	0
Minor Salivary Gland	male_med	ARSH	0.2088
Muscle - Skeletal	male_med	ARSH	0
Nerve - Tibial	male_med	ARSH	0
Pancreas	male_med	ARSH	0.03283
Pituitary	male_med	ARSH	0
Skin - Not Sun Exposed (Suprapubic)	male_med	ARSH	0.07402
Skin - Sun Exposed (Lower leg)	male_med	ARSH	0.05986
Small Intestine - Terminal Ileum	male_med	ARSH	0
Spleen	male_med	ARSH	0
Stomach	male_med	ARSH	0.01594
Thyroid	male_med	ARSH	0
Whole Blood	male_med	ARSH	0
Adipose - Subcutaneous	female_med	ARSH	0
Adipose - Visceral (Omentum)	female_med	ARSH	0
Adrenal Gland	female_med	ARSH	0
Artery - Aorta	female_med	ARSH	0
Artery - Coronary	female_med	ARSH	0
Artery - Tibial	female_med	ARSH	0
Bladder	female_med	ARSH	0.02977
Brain - Amygdala	female_med	ARSH	0
Brain - Anterior cingulate cortex (BA24)	female_med	ARSH	0
Brain - Caudate (basal ganglia)	female_med	ARSH	0
Brain - Cerebellar Hemisphere	female_med	ARSH	0
Brain - Cerebellum	female_med	ARSH	0
Brain - Cortex	female_med	ARSH	0
Brain - Frontal Cortex (BA9)	female_med	ARSH	0
Brain - Hippocampus	female_med	ARSH	0
Brain - Hypothalamus	female_med	ARSH	0
Brain - Nucleus accumbens (basal ganglia)	female_med	ARSH	0
Brain - Putamen (basal ganglia)	female_med	ARSH	0
Brain - Spinal cord (cervical c-1)	female_med	ARSH	0
Brain - Substantia nigra	female_med	ARSH	0
Breast - Mammary Tissue	female_med	ARSH	0.20585
Cells - Cultured fibroblasts	female_med	ARSH	0
Cells - EBV-transformed lymphocytes	female_med	ARSH	0
Colon - Sigmoid	female_med	ARSH	0
Colon - Transverse	female_med	ARSH	0
Esophagus - Gastroesophageal Junction	female_med	ARSH	0
Esophagus - Mucosa	female_med	ARSH	0.3918
Esophagus - Muscularis	female_med	ARSH	0
Heart - Atrial Appendage	female_med	ARSH	0
Heart - Left Ventricle	female_med	ARSH	0
Kidney - Cortex	female_med	ARSH	0
Kidney - Medulla	female_med	ARSH	0.02298
Liver	female_med	ARSH	0
Lung	female_med	ARSH	0
Minor Salivary Gland	female_med	ARSH	0.2179
Muscle - Skeletal	female_med	ARSH	0
Nerve - Tibial	female_med	ARSH	0
Pancreas	female_med	ARSH	0.02763
Pituitary	female_med	ARSH	0
Skin - Not Sun Exposed (Suprapubic)	female_med	ARSH	0.07801
Skin - Sun Exposed (Lower leg)	female_med	ARSH	0.06689
Small Intestine - Terminal Ileum	female_med	ARSH	0
Spleen	female_med	ARSH	0
Stomach	female_med	ARSH	0.03728
Thyroid	female_med	ARSH	0
Whole Blood	female_med	ARSH	0
Adrenal Gland	med_diff_adj	ARSF	1.46666666666667
Bladder	med_diff_adj	ARSF	0.516612760952661
Brain - Amygdala	med_diff_adj	ARSF	0.0851167315175096
Brain - Anterior cingulate cortex (BA24)	med_diff_adj	ARSF	0.0412017167381975
Brain - Caudate (basal ganglia)	med_diff_adj	ARSF	-0.084312723556464
Brain - Cerebellar Hemisphere	med_diff_adj	ARSF	-0.288370520622042
