SMTSD	data	variable	value
Adipose - Subcutaneous	med_diff_adj	XG	0.336922386720503
Adipose - Visceral (Omentum)	med_diff_adj	XG	0.347826086956522
Adrenal Gland	med_diff_adj	XG	0.131667288325252
Artery - Aorta	med_diff_adj	XG	0.0655379574003278
Artery - Coronary	med_diff_adj	XG	-0.00544090056285177
Artery - Tibial	med_diff_adj	XG	0.107035928143713
Bladder	med_diff_adj	XG	-0.230418033956342
Brain - Amygdala	med_diff_adj	XG	0.226124885215794
Brain - Anterior cingulate cortex (BA24)	med_diff_adj	XG	-0.187745246000604
Brain - Caudate (basal ganglia)	med_diff_adj	XG	0.473096851335193
Brain - Cerebellar Hemisphere	med_diff_adj	XG	0.64982476635514
Brain - Cerebellum	med_diff_adj	XG	0.185756972111554
Brain - Cortex	med_diff_adj	XG	0.487253289473684
Brain - Frontal Cortex (BA9)	med_diff_adj	XG	0.0195003046922609
Brain - Hippocampus	med_diff_adj	XG	-0.215808823529412
Brain - Hypothalamus	med_diff_adj	XG	0.00791936645068407
Brain - Nucleus accumbens (basal ganglia)	med_diff_adj	XG	0.406714769547931
Brain - Putamen (basal ganglia)	med_diff_adj	XG	0.876806607019958
Brain - Spinal cord (cervical c-1)	med_diff_adj	XG	-0.0153909296121486
Brain - Substantia nigra	med_diff_adj	XG	0.0624254811786749
Breast - Mammary Tissue	med_diff_adj	XG	-0.0182926829268292
Cells - Cultured fibroblasts	med_diff_adj	XG	0.693976236529428
Cells - EBV-transformed lymphocytes	med_diff_adj	XG	0.141134844712357
Colon - Sigmoid	med_diff_adj	XG	0.30990099009901
Colon - Transverse	med_diff_adj	XG	0.132450331125828
Esophagus - Gastroesophageal Junction	med_diff_adj	XG	0.102755026061057
Esophagus - Mucosa	med_diff_adj	XG	0.138425925925926
Esophagus - Muscularis	med_diff_adj	XG	0.162611834876785
Heart - Atrial Appendage	med_diff_adj	XG	-0.209599447513812
Heart - Left Ventricle	med_diff_adj	XG	0.126502403846154
Kidney - Cortex	med_diff_adj	XG	-0.385594089883029
