TEST	Tissue	correlation	cor_pvalue	Pheno	Name
ADD	Artery - Aorta	0.634567195109991	0.000497988364362128	albumin	Albumin
ADD	Artery - Coronary	0.384543311741773	0.063542088314144	albumin	Albumin
ADD	Cells - EBV - transformed lymphocytes	0.485372773276141	0.0162052582850514	albumin	Albumin
ADD	Colon - Transverse	0.391585545609925	0.032358038533279	albumin	Albumin
ADD	Esophagus - Mucosa	0.252697820151264	0.296592715052567	albumin	Albumin
ADD	Esophagus - Muscularis	0.466501429609161	0.0107434098545865	albumin	Albumin
ADD	Kidney - Cortex	0.161974384304	0.449551366727745	albumin	Albumin
ADD	Liver	0.268321557671637	0.2157463457215	albumin	Albumin
ADD	Lung	0.359722364275247	0.100105842768266	albumin	Albumin
ADD	Pancreas	0.0364794243926223	0.8595715009771	albumin	Albumin
ADD	Skin - Not Sun Exposed (Suprapubic)	0.194249327326227	0.363071286215668	albumin	Albumin
ADD	Stomach	0.553661417455843	0.00223964511001716	albumin	Albumin
ADD	Thyroid	0.298017763902102	0.123485829231894	albumin	Albumin
ADD	Whole Blood	0.599299612930509	0.03945281377403	albumin	Albumin
DOMDEV	Artery - Aorta	0.182056013456907	0.373399502922993	albumin	Albumin
DOMDEV	Artery - Coronary	-0.0675694654360966	0.753742090891035	albumin	Albumin
DOMDEV	Cells - EBV - transformed lymphocytes	0.356322265701602	0.0874428027578781	albumin	Albumin
DOMDEV	Colon - Transverse	0.118375978468881	0.533272482999446	albumin	Albumin
DOMDEV	Esophagus - Mucosa	0.114625058648814	0.64031074701092	albumin	Albumin
DOMDEV	Esophagus - Muscularis	0.186860648166151	0.33174902451422	albumin	Albumin
DOMDEV	Kidney - Cortex	-0.0815244678139688	0.704912626118756	albumin	Albumin
DOMDEV	Liver	0.142146721878487	0.517636291994618	albumin	Albumin
DOMDEV	Lung	0.052776228689106	0.815563391206849	albumin	Albumin
DOMDEV	Pancreas	0.0866300741266893	0.673903779472869	albumin	Albumin
DOMDEV	Skin - Not Sun Exposed (Suprapubic)	0.107866342462466	0.615883376278091	albumin	Albumin
DOMDEV	Stomach	0.415597451619721	0.0278460966117468	albumin	Albumin
DOMDEV	Thyroid	0.374615939297975	0.0495189532952415	albumin	Albumin
DOMDEV	Whole Blood	0.495070061711595	0.101743970627607	albumin	Albumin
ADD	Artery - Aorta	0.0437328041697969	0.832006829257698	height	Height
ADD	Artery - Coronary	-0.138071446954481	0.519969168122345	height	Height
ADD	Cells - EBV - transformed lymphocytes	0.0521873307720966	0.808639885563885	height	Height
ADD	Colon - Transverse	-0.111419171883533	0.557763513148152	height	Height
ADD	Esophagus - Mucosa	-0.0940460003239297	0.701751334550437	height	Height
ADD	Esophagus - Muscularis	0.12077484925776	0.532578602433334	height	Height
ADD	Kidney - Cortex	0.0678351235836194	0.752803256558836	height	Height
ADD	Liver	0.446023153617543	0.0329070359295716	height	Height
ADD	Lung	0.127742830112195	0.571039120772145	height	Height
ADD	Pancreas	0.289290851576355	0.151739675396311	height	Height
ADD	Skin - Not Sun Exposed (Suprapubic)	0.124763396761396	0.561333644699336	height	Height
ADD	Stomach	0.571617405450386	0.00148503661959467	height	Height
ADD	Thyroid	0.0359032457363901	0.85607043205471	height	Height
ADD	Whole Blood	0.175862915517995	0.58456973374209	height	Height
DOMDEV	Artery - Aorta	0.202993683459886	0.319946470171267	height	Height
DOMDEV	Artery - Coronary	0.175108879633687	0.413122315292474	height	Height
DOMDEV	Cells - EBV - transformed lymphocytes	0.528003104060919	0.00800215927442184	height	Height
DOMDEV	Colon - Transverse	0.457093104966651	0.0111037610624709	height	Height
DOMDEV	Esophagus - Mucosa	0.0470744018725472	0.848237643470956	height	Height
DOMDEV	Esophagus - Muscularis	0.421420764470199	0.0227975165486036	height	Height
DOMDEV	Kidney - Cortex	0.158183021721471	0.460372454354984	height	Height
DOMDEV	Liver	0.238493691278536	0.273122159376208	height	Height
DOMDEV	Lung	0.240759027911706	0.280445591596801	height	Height
DOMDEV	Pancreas	0.278084440876042	0.168966698953531	height	Height
DOMDEV	Skin - Not Sun Exposed (Suprapubic)	0.133376215481278	0.534394384186592	height	Height
DOMDEV	Stomach	0.502132166959655	0.00647334676000146	height	Height
DOMDEV	Thyroid	0.443033570895191	0.0182199453334731	height	Height
DOMDEV	Whole Blood	0.159528489176696	0.620430445446469	height	Height
ADD	Artery - Aorta	0.29725883090674	0.14027792704223	bmi	BMI
ADD	Artery - Coronary	0.326186538917759	0.119809487836173	bmi	BMI
ADD	Cells - EBV - transformed lymphocytes	0.391942533419872	0.0581976769859514	bmi	BMI
ADD	Colon - Transverse	0.431052143449906	0.0174007428565636	bmi	BMI
ADD	Esophagus - Mucosa	0.19117530872048	0.433032176207878	bmi	BMI
ADD	Esophagus - Muscularis	0.173098516643745	0.369203733709946	bmi	BMI
ADD	Kidney - Cortex	-0.030389158378434	0.887901196651953	bmi	BMI
ADD	Liver	0.296967568975935	0.168802548896869	bmi	BMI
ADD	Lung	0.141161822766273	0.530915362625163	bmi	BMI
ADD	Pancreas	0.172115750391658	0.400482452059785	bmi	BMI
ADD	Skin - Not Sun Exposed (Suprapubic)	0.14206160959583	0.507858858177118	bmi	BMI
ADD	Stomach	0.431964980254226	0.0217064447773049	bmi	BMI
ADD	Thyroid	0.509234680197677	0.00564593242060537	bmi	BMI
ADD	Whole Blood	0.457968638462429	0.13434615692285	bmi	BMI
DOMDEV	Artery - Aorta	0.0977139494358239	0.634872340174715	bmi	BMI
DOMDEV	Artery - Coronary	0.0507376212255792	0.813863620737416	bmi	BMI
DOMDEV	Cells - EBV - transformed lymphocytes	0.528098912373874	0.00798867118932974	bmi	BMI
DOMDEV	Colon - Transverse	0.306533655231264	0.099445349743937	bmi	BMI
DOMDEV	Esophagus - Mucosa	0.11882099361243	0.628038498799363	bmi	BMI
DOMDEV	Esophagus - Muscularis	0.246800989865427	0.196815844018379	bmi	BMI
DOMDEV	Kidney - Cortex	0.10596734293008	0.622146784127146	bmi	BMI
DOMDEV	Liver	0.327136787273486	0.127588335153234	bmi	BMI
DOMDEV	Lung	0.303167418218296	0.170215531369147	bmi	BMI
DOMDEV	Pancreas	0.173887239164463	0.395576794937589	bmi	BMI
DOMDEV	Skin - Not Sun Exposed (Suprapubic)	-0.0475609831136566	0.825336658681242	bmi	BMI
DOMDEV	Stomach	0.428819149725905	0.0227913249221418	bmi	BMI
DOMDEV	Thyroid	0.264745362045536	0.173365366598569	bmi	BMI
DOMDEV	Whole Blood	0.176851376445295	0.582425991861719	bmi	BMI
ADD	Artery - Aorta	0.136700689617296	0.505478085455782	lymphocyte_perc	Lymphocyte %
ADD	Artery - Coronary	-0.0621861113868063	0.772838097512203	lymphocyte_perc	Lymphocyte %
ADD	Cells - EBV - transformed lymphocytes	0.176455656301816	0.409481473339935	lymphocyte_perc	Lymphocyte %
ADD	Colon - Transverse	-0.125224837853591	0.509675257898754	lymphocyte_perc	Lymphocyte %
ADD	Esophagus - Mucosa	0.0671039677108661	0.784892212872298	lymphocyte_perc	Lymphocyte %
