TEST	Tissue	correlation	cor_pvalue	Pheno	Name
ADD	Esophagus - Muscularis	0.0686315089854794	0.723524609296495	lymphocyte_perc	Lymphocyte %
ADD	Kidney - Cortex	-0.161606508027908	0.450595422651591	lymphocyte_perc	Lymphocyte %
ADD	Liver	0.0988918808688903	0.653486685440188	lymphocyte_perc	Lymphocyte %
ADD	Lung	0.219855775235504	0.325548589541634	lymphocyte_perc	Lymphocyte %
ADD	Pancreas	0.0272989010184929	0.894686858151578	lymphocyte_perc	Lymphocyte %
ADD	Skin - Not Sun Exposed (Suprapubic)	0.0687566036182148	0.749549393405736	lymphocyte_perc	Lymphocyte %
ADD	Stomach	0.200853675901319	0.3054323808813	lymphocyte_perc	Lymphocyte %
ADD	Thyroid	0.0419931539328419	0.831974967364638	lymphocyte_perc	Lymphocyte %
ADD	Whole Blood	0.350008830942093	0.264715437584619	lymphocyte_perc	Lymphocyte %
DOMDEV	Artery - Aorta	0.0708384244469721	0.730940755206445	lymphocyte_perc	Lymphocyte %
DOMDEV	Artery - Coronary	-0.0549025409999293	0.798877645385136	lymphocyte_perc	Lymphocyte %
DOMDEV	Cells - EBV - transformed lymphocytes	0.482189658175128	0.017023965358962	lymphocyte_perc	Lymphocyte %
DOMDEV	Colon - Transverse	0.190194420267226	0.31407888025198	lymphocyte_perc	Lymphocyte %
DOMDEV	Esophagus - Mucosa	0.272481795202598	0.259062900475805	lymphocyte_perc	Lymphocyte %
DOMDEV	Esophagus - Muscularis	0.222787216523011	0.245380124670989	lymphocyte_perc	Lymphocyte %
DOMDEV	Kidney - Cortex	0.270848815953217	0.200496969444717	lymphocyte_perc	Lymphocyte %
DOMDEV	Liver	0.427762872387798	0.0417370417153167	lymphocyte_perc	Lymphocyte %
DOMDEV	Lung	0.202134719985006	0.366995244299937	lymphocyte_perc	Lymphocyte %
DOMDEV	Pancreas	0.412745357521278	0.036121751476682	lymphocyte_perc	Lymphocyte %
DOMDEV	Skin - Not Sun Exposed (Suprapubic)	0.391674972517816	0.0583846754085715	lymphocyte_perc	Lymphocyte %
DOMDEV	Stomach	0.305733710521777	0.113607066589886	lymphocyte_perc	Lymphocyte %
DOMDEV	Thyroid	0.46918026746413	0.0117791740703516	lymphocyte_perc	Lymphocyte %
DOMDEV	Whole Blood	0.65324870363448	0.0212534405666141	lymphocyte_perc	Lymphocyte %
ADD	Artery - Aorta	0.124230163752257	0.545412950203847	HbA1c	HbA1c
ADD	Artery - Coronary	-0.116596244571341	0.587428597666876	HbA1c	HbA1c
ADD	Cells - EBV - transformed lymphocytes	0.236795279609261	0.265251537983434	HbA1c	HbA1c
ADD	Colon - Transverse	0.154658668193664	0.414481285069576	HbA1c	HbA1c
ADD	Esophagus - Mucosa	0.14908722173694	0.542419593322016	HbA1c	HbA1c
ADD	Esophagus - Muscularis	-0.0507154848285328	0.793887534422638	HbA1c	HbA1c
ADD	Kidney - Cortex	-0.230779125721526	0.277940732609878	HbA1c	HbA1c
ADD	Liver	-0.021681046288926	0.921780407801536	HbA1c	HbA1c
ADD	Lung	0.233453239983611	0.295740066814599	HbA1c	HbA1c
ADD	Pancreas	-0.0367179757399477	0.858662212461475	HbA1c	HbA1c
ADD	Skin - Not Sun Exposed (Suprapubic)	-0.173855910288278	0.416525508698544	HbA1c	HbA1c
ADD	Stomach	0.172741453690872	0.379389162043504	HbA1c	HbA1c
ADD	Thyroid	0.0933900716340288	0.636442439668212	HbA1c	HbA1c
ADD	Whole Blood	0.575844367263736	0.0500680566673244	HbA1c	HbA1c
DOMDEV	Artery - Aorta	0.33485284449087	0.0945009943656606	HbA1c	HbA1c
DOMDEV	Artery - Coronary	0.261034873004455	0.217935808484657	HbA1c	HbA1c
DOMDEV	Cells - EBV - transformed lymphocytes	0.384068042261668	0.063897825736366	HbA1c	HbA1c
DOMDEV	Colon - Transverse	0.374797478125141	0.0412819181432854	HbA1c	HbA1c
DOMDEV	Esophagus - Mucosa	0.306780373156371	0.201420159348524	HbA1c	HbA1c
DOMDEV	Esophagus - Muscularis	0.244073782570998	0.201968560399632	HbA1c	HbA1c
DOMDEV	Kidney - Cortex	0.0368265723526777	0.864350346833018	HbA1c	HbA1c
DOMDEV	Liver	0.270795527172516	0.211380795674448	HbA1c	HbA1c
DOMDEV	Lung	0.42182492988098	0.0505346739416909	HbA1c	HbA1c
DOMDEV	Pancreas	0.137386298521613	0.503325178538642	HbA1c	HbA1c
DOMDEV	Skin - Not Sun Exposed (Suprapubic)	0.185508565982441	0.385473184058542	HbA1c	HbA1c
DOMDEV	Stomach	0.619000337396057	0.000445180793905339	HbA1c	HbA1c
DOMDEV	Thyroid	0.564591960877776	0.00174883268407509	HbA1c	HbA1c
DOMDEV	Whole Blood	0.678981452744131	0.0151798477836557	HbA1c	HbA1c
ADD	Artery - Aorta	0.182658783415646	0.371792155450464	RBC_count	RBC count
ADD	Artery - Coronary	0.406642999684713	0.0486149728735153	RBC_count	RBC count
ADD	Cells - EBV - transformed lymphocytes	0.406473858932716	0.0487177327688955	RBC_count	RBC count
ADD	Colon - Transverse	0.228313637646568	0.224940396192364	RBC_count	RBC count
ADD	Esophagus - Mucosa	0.130310423456598	0.594916695292315	RBC_count	RBC count
ADD	Esophagus - Muscularis	0.464695951607631	0.0110931425172939	RBC_count	RBC count
ADD	Kidney - Cortex	0.306636080924077	0.14500908636236	RBC_count	RBC count
ADD	Liver	0.0214134226897979	0.922743105389952	RBC_count	RBC count
ADD	Lung	0.265039526840261	0.233243292071845	RBC_count	RBC count
ADD	Pancreas	0.321736293274825	0.108977282860154	RBC_count	RBC count
ADD	Skin - Not Sun Exposed (Suprapubic)	0.183517800610863	0.390682802301468	RBC_count	RBC count
ADD	Stomach	0.611820875418189	0.00054093405563719	RBC_count	RBC count
ADD	Thyroid	0.49571042220314	0.00730755063300646	RBC_count	RBC count
ADD	Whole Blood	0.615034509843803	0.0332984629761238	RBC_count	RBC count
DOMDEV	Artery - Aorta	0.137025853489409	0.504456460451588	RBC_count	RBC count
DOMDEV	Artery - Coronary	-0.0264883376067152	0.902218283731833	RBC_count	RBC count
DOMDEV	Cells - EBV - transformed lymphocytes	0.493110791475814	0.0143483678140698	RBC_count	RBC count
DOMDEV	Colon - Transverse	0.137015817890757	0.470298193363966	RBC_count	RBC count
DOMDEV	Esophagus - Mucosa	0.0626278402549259	0.798950904094748	RBC_count	RBC count
DOMDEV	Esophagus - Muscularis	0.0661586938109515	0.733120316922026	RBC_count	RBC count
DOMDEV	Kidney - Cortex	-0.124004267090214	0.563736996731117	RBC_count	RBC count
DOMDEV	Liver	0.0242669351689027	0.912484091846298	RBC_count	RBC count
DOMDEV	Lung	-0.0549570743841317	0.8080766262056	RBC_count	RBC count
DOMDEV	Pancreas	-0.0949015298318549	0.644691720764254	RBC_count	RBC count
DOMDEV	Skin - Not Sun Exposed (Suprapubic)	0.0290327015694215	0.892876136856834	RBC_count	RBC count
DOMDEV	Stomach	0.361367244384905	0.0588368078240073	RBC_count	RBC count
DOMDEV	Thyroid	0.438617998605792	0.0195509740252517	RBC_count	RBC count
DOMDEV	Whole Blood	0.560823410037029	0.0578347109226778	RBC_count	RBC count
ADD	Artery - Aorta	0.0879144750353164	0.669336072285919	F20	Schizophrenia, schizotypal and delusional disorders
ADD	Artery - Coronary	0.0289039556482625	0.893348532009248	F20	Schizophrenia, schizotypal and delusional disorders
ADD	Cells - EBV - transformed lymphocytes	0.0904759942845963	0.674162296760104	F20	Schizophrenia, schizotypal and delusional disorders
ADD	Colon - Transverse	0.18606934682634	0.32488387947474	F20	Schizophrenia, schizotypal and delusional disorders
ADD	Esophagus - Mucosa	0.0829307793893209	0.735718891985194	F20	Schizophrenia, schizotypal and delusional disorders
ADD	Esophagus - Muscularis	0.236888506516586	0.215985860490688	F20	Schizophrenia, schizotypal and delusional disorders
ADD	Kidney - Cortex	-0.0670269664162419	0.755660329826046	F20	Schizophrenia, schizotypal and delusional disorders
ADD	Liver	0.209280407117232	0.33787511134856	F20	Schizophrenia, schizotypal and delusional disorders
ADD	Lung	0.377054459109449	0.0836626513385954	F20	Schizophrenia, schizotypal and delusional disorders
ADD	Pancreas	-0.0717334854836678	0.727667068438689	F20	Schizophrenia, schizotypal and delusional disorders
ADD	Skin - Not Sun Exposed (Suprapubic)	0.0779647765703604	0.717269832970756	F20	Schizophrenia, schizotypal and delusional disorders
ADD	Stomach	0.340232195209128	0.0764708683244524	F20	Schizophrenia, schizotypal and delusional disorders
ADD	Thyroid	0.140523365017781	0.475703813400318	F20	Schizophrenia, schizotypal and delusional disorders
ADD	Whole Blood	0.286362868815946	0.366863614498371	F20	Schizophrenia, schizotypal and delusional disorders
DOMDEV	Artery - Aorta	0.272902092499973	0.177380334314716	F20	Schizophrenia, schizotypal and delusional disorders
DOMDEV	Artery - Coronary	0.112535755834682	0.600593313713408	F20	Schizophrenia, schizotypal and delusional disorders
DOMDEV	Cells - EBV - transformed lymphocytes	0.456384669346291	0.0249827049931051	F20	Schizophrenia, schizotypal and delusional disorders
DOMDEV	Colon - Transverse	0.308396543331712	0.0973016460276073	F20	Schizophrenia, schizotypal and delusional disorders
DOMDEV	Esophagus - Mucosa	0.174892595320015	0.473908940071999	F20	Schizophrenia, schizotypal and delusional disorders
DOMDEV	Esophagus - Muscularis	0.229995450426968	0.230040438158983	F20	Schizophrenia, schizotypal and delusional disorders
DOMDEV	Kidney - Cortex	-0.0772505010541816	0.71975781432105	F20	Schizophrenia, schizotypal and delusional disorders
DOMDEV	Liver	0.393501854318256	0.0632137924049386	F20	Schizophrenia, schizotypal and delusional disorders
DOMDEV	Lung	0.328439594367281	0.135605933446006	F20	Schizophrenia, schizotypal and delusional disorders
DOMDEV	Pancreas	-0.113343336358746	0.581429485127414	F20	Schizophrenia, schizotypal and delusional disorders
DOMDEV	Skin - Not Sun Exposed (Suprapubic)	-0.0222620912195623	0.917763086428733	F20	Schizophrenia, schizotypal and delusional disorders
DOMDEV	Stomach	0.499544655708704	0.00679922843745908	F20	Schizophrenia, schizotypal and delusional disorders
DOMDEV	Thyroid	0.393311468736446	0.0383949656262663	F20	Schizophrenia, schizotypal and delusional disorders
DOMDEV	Whole Blood	0.754721604727663	0.00455245074856349	F20	Schizophrenia, schizotypal and delusional disorders
ADD	Artery - Aorta	0.246768093890669	0.224253416256931	M05	Inflammatory polyarthropathies
ADD	Artery - Coronary	-0.00970853946709364	0.964088346904374	M05	Inflammatory polyarthropathies
ADD	Cells - EBV - transformed lymphocytes	0.213534139093949	0.316405542052017	M05	Inflammatory polyarthropathies
ADD	Colon - Transverse	0.325701837467758	0.0790217792672494	M05	Inflammatory polyarthropathies
ADD	Esophagus - Mucosa	0.0333808700011744	0.892087864914271	M05	Inflammatory polyarthropathies
ADD	Esophagus - Muscularis	0.108532679808964	0.57519497702017	M05	Inflammatory polyarthropathies
ADD	Kidney - Cortex	0.147551033160539	0.491426388535827	M05	Inflammatory polyarthropathies
ADD	Liver	0.46411868782805	0.0256864848702028	M05	Inflammatory polyarthropathies
ADD	Lung	0.331909280065202	0.131279243044426	M05	Inflammatory polyarthropathies
ADD	Pancreas	0.278125783370668	0.168900726036367	M05	Inflammatory polyarthropathies
ADD	Skin - Not Sun Exposed (Suprapubic)	0.120484588965977	0.574939835902293	M05	Inflammatory polyarthropathies
ADD	Stomach	0.314980653448057	0.102554268818381	M05	Inflammatory polyarthropathies
ADD	Thyroid	0.351901853875727	0.0662933247687726	M05	Inflammatory polyarthropathies
ADD	Whole Blood	0.530377541075588	0.0760763572114625	M05	Inflammatory polyarthropathies
DOMDEV	Artery - Aorta	0.162714547984442	0.427082553272623	M05	Inflammatory polyarthropathies
DOMDEV	Artery - Coronary	0.0182992614102178	0.932365715852952	M05	Inflammatory polyarthropathies
DOMDEV	Cells - EBV - transformed lymphocytes	0.451326407826242	0.02684715135786	M05	Inflammatory polyarthropathies
DOMDEV	Colon - Transverse	0.255051964071739	0.173754392090257	M05	Inflammatory polyarthropathies
DOMDEV	Esophagus - Mucosa	0.070951192830357	0.772859369649013	M05	Inflammatory polyarthropathies
DOMDEV	Esophagus - Muscularis	0.392715963855188	0.035090135676163	M05	Inflammatory polyarthropathies
DOMDEV	Kidney - Cortex	0.150548919316298	0.482565835457209	M05	Inflammatory polyarthropathies
DOMDEV	Liver	0.266448021933134	0.219092114124949	M05	Inflammatory polyarthropathies
DOMDEV	Lung	0.308926515691707	0.161840417686861	M05	Inflammatory polyarthropathies
DOMDEV	Pancreas	0.216094690500785	0.289021119164451	M05	Inflammatory polyarthropathies
DOMDEV	Skin - Not Sun Exposed (Suprapubic)	0.0474993652701226	0.825559554593941	M05	Inflammatory polyarthropathies
DOMDEV	Stomach	0.406210722596336	0.031958804145463	M05	Inflammatory polyarthropathies
DOMDEV	Thyroid	0.340814527530556	0.0759361701581999	M05	Inflammatory polyarthropathies
DOMDEV	Whole Blood	0.452252209931315	0.13990579542129	M05	Inflammatory polyarthropathies
ADD	Artery - Aorta	0.295406461416726	0.142885128334512	E050	Thyrotoxicosis w/ diffuse goiter
ADD	Artery - Coronary	0.0678968020982285	0.75258533362134	E050	Thyrotoxicosis w/ diffuse goiter
ADD	Cells - EBV - transformed lymphocytes	0.456201875493466	0.0250482161209832	E050	Thyrotoxicosis w/ diffuse goiter
ADD	Colon - Transverse	0.400902330558386	0.028123823858919	E050	Thyrotoxicosis w/ diffuse goiter
ADD	Esophagus - Mucosa	0.0230714997037579	0.925307049228778	E050	Thyrotoxicosis w/ diffuse goiter
ADD	Esophagus - Muscularis	0.290593728341394	0.126195649270002	E050	Thyrotoxicosis w/ diffuse goiter
ADD	Kidney - Cortex	0.0355525654559267	0.869002966157057	E050	Thyrotoxicosis w/ diffuse goiter
ADD	Liver	0.271208667404137	0.210657579411745	E050	Thyrotoxicosis w/ diffuse goiter
ADD	Lung	0.346870932250407	0.113749851744929	E050	Thyrotoxicosis w/ diffuse goiter
ADD	Pancreas	0.12585419921506	0.54013052918698	E050	Thyrotoxicosis w/ diffuse goiter
ADD	Skin - Not Sun Exposed (Suprapubic)	0.033306927706986	0.877214128366867	E050	Thyrotoxicosis w/ diffuse goiter
ADD	Stomach	0.498147384899217	0.00698089624308196	E050	Thyrotoxicosis w/ diffuse goiter
ADD	Thyroid	0.416454910520747	0.0274928788929799	E050	Thyrotoxicosis w/ diffuse goiter
ADD	Whole Blood	0.246297129211579	0.440302968079537	E050	Thyrotoxicosis w/ diffuse goiter
DOMDEV	Artery - Aorta	0.0485954689141265	0.813633129487375	E050	Thyrotoxicosis w/ diffuse goiter
DOMDEV	Artery - Coronary	-0.0237019695054108	0.912463419988754	E050	Thyrotoxicosis w/ diffuse goiter
DOMDEV	Cells - EBV - transformed lymphocytes	0.365395865164356	0.0791222260119774	E050	Thyrotoxicosis w/ diffuse goiter
DOMDEV	Colon - Transverse	0.107151695406735	0.573038171084241	E050	Thyrotoxicosis w/ diffuse goiter
DOMDEV	Esophagus - Mucosa	0.0211927796144192	0.931375065812242	E050	Thyrotoxicosis w/ diffuse goiter
DOMDEV	Esophagus - Muscularis	0.11961664344665	0.536544912432832	E050	Thyrotoxicosis w/ diffuse goiter
DOMDEV	Kidney - Cortex	0.0913835709509154	0.671071693350899	E050	Thyrotoxicosis w/ diffuse goiter
DOMDEV	Liver	0.206724734274415	0.343941171179497	E050	Thyrotoxicosis w/ diffuse goiter
DOMDEV	Lung	0.218519132079732	0.328572712225889	E050	Thyrotoxicosis w/ diffuse goiter
DOMDEV	Pancreas	0.196803439241867	0.335236686563534	E050	Thyrotoxicosis w/ diffuse goiter
DOMDEV	Skin - Not Sun Exposed (Suprapubic)	0.080063326017108	0.709976319954428	E050	Thyrotoxicosis w/ diffuse goiter
DOMDEV	Stomach	0.425544337784055	0.0239673432509155	E050	Thyrotoxicosis w/ diffuse goiter
DOMDEV	Thyroid	0.419233062572629	0.0263733463951884	E050	Thyrotoxicosis w/ diffuse goiter
DOMDEV	Whole Blood	0.367679421055025	0.23966133616928	E050	Thyrotoxicosis w/ diffuse goiter
ADD	Artery - Aorta	0.286180475939446	0.156390034207508	G43	Migraine
ADD	Artery - Coronary	-0.108316296691424	0.614403090227362	G43	Migraine
ADD	Cells - EBV - transformed lymphocytes	0.363766836885435	0.0805701387549709	G43	Migraine
ADD	Colon - Transverse	0.130885343080411	0.490570571907024	G43	Migraine
ADD	Esophagus - Mucosa	0.0954565266502093	0.697477796349575	G43	Migraine
ADD	Esophagus - Muscularis	0.161225633041211	0.403423840258189	G43	Migraine
ADD	Kidney - Cortex	0.0562306108837603	0.794113247284853	G43	Migraine
ADD	Liver	0.121459824631059	0.58090201404241	G43	Migraine
ADD	Lung	0.350478031181815	0.109791269683235	G43	Migraine
ADD	Pancreas	0.253003247102484	0.212386142563846	G43	Migraine
ADD	Skin - Not Sun Exposed (Suprapubic)	-0.0495407417015814	0.818182153663856	G43	Migraine
ADD	Stomach	0.536427813160839	0.00325371123164579	G43	Migraine
ADD	Thyroid	0.230139283125848	0.238733735563224	G43	Migraine
ADD	Whole Blood	0.469461200701819	0.12360769743779	G43	Migraine
DOMDEV	Artery - Aorta	0.282902938837295	0.161398815830696	G43	Migraine
DOMDEV	Artery - Coronary	0.187277181575341	0.380878203255294	G43	Migraine
DOMDEV	Cells - EBV - transformed lymphocytes	0.404210174067117	0.0501093903211541	G43	Migraine
DOMDEV	Colon - Transverse	0.693862552407058	2.11773669666237e-05	G43	Migraine
DOMDEV	Esophagus - Mucosa	0.137325652170048	0.575057726461958	G43	Migraine
DOMDEV	Esophagus - Muscularis	0.330488785060462	0.0799401571821845	G43	Migraine
DOMDEV	Kidney - Cortex	0.223094405946006	0.294698550066692	G43	Migraine
DOMDEV	Liver	0.338155642326999	0.114519262515871	G43	Migraine
DOMDEV	Lung	0.317459490246859	0.149965845190477	G43	Migraine
DOMDEV	Pancreas	0.220990965012269	0.277965205208024	G43	Migraine
DOMDEV	Skin - Not Sun Exposed (Suprapubic)	0.178399547623952	0.404257838890613	G43	Migraine
DOMDEV	Stomach	0.364621729391338	0.0564302627347604	G43	Migraine
DOMDEV	Thyroid	0.296148223425292	0.125971538889058	G43	Migraine
DOMDEV	Whole Blood	0.30083262307495	0.342034990589926	G43	Migraine
ADD	Artery - Aorta	0.119306526993759	0.56157279502252	K51	UC
ADD	Artery - Coronary	0.0195270688573119	0.927838889137002	K51	UC
ADD	Cells - EBV - transformed lymphocytes	0.39377933823589	0.0569263900220452	K51	UC
ADD	Colon - Transverse	0.422051520928228	0.0201694645781176	K51	UC
ADD	Esophagus - Mucosa	0.273556972065668	0.257113301484645	K51	UC
ADD	Esophagus - Muscularis	0.181549733479533	0.345918935713224	K51	UC
ADD	Kidney - Cortex	0.00964164815459491	0.964335622409371	K51	UC
ADD	Liver	0.0580587064620979	0.79244739397151	K51	UC
ADD	Lung	0.216249680681205	0.33374562600865	K51	UC
ADD	Pancreas	0.079557923278159	0.699252611518491	K51	UC
ADD	Skin - Not Sun Exposed (Suprapubic)	0.18172528882321	0.395407447775053	K51	UC
ADD	Stomach	0.402563815260729	0.0336830915192032	K51	UC
ADD	Thyroid	0.242125728718716	0.214469941745479	K51	UC
ADD	Whole Blood	0.404018164671826	0.192731804319356	K51	UC
DOMDEV	Artery - Aorta	0.0833970689532275	0.685450906888084	K51	UC
DOMDEV	Artery - Coronary	0.190449721974233	0.372714573586445	K51	UC
DOMDEV	Cells - EBV - transformed lymphocytes	0.48800754915601	0.0155521619119241	K51	UC
DOMDEV	Colon - Transverse	0.271339557965705	0.1469441546203	K51	UC
DOMDEV	Esophagus - Mucosa	0.261699946935475	0.279126501064039	K51	UC
DOMDEV	Esophagus - Muscularis	0.197989628726605	0.30322411965461	K51	UC
DOMDEV	Kidney - Cortex	-0.0300022341757212	0.889319869179422	K51	UC
DOMDEV	Liver	0.335426082095394	0.117661653883509	K51	UC
DOMDEV	Lung	0.206518758483302	0.356470468680042	K51	UC
DOMDEV	Pancreas	0.10406485850347	0.612920497604576	K51	UC
DOMDEV	Skin - Not Sun Exposed (Suprapubic)	0.0439972021854684	0.838249247740437	K51	UC
DOMDEV	Stomach	0.383387670339801	0.0440196941268142	K51	UC
DOMDEV	Thyroid	0.269341014558246	0.165743813301674	K51	UC
DOMDEV	Whole Blood	0.0526838176872911	0.870827032333397	K51	UC
ADD	Artery - Aorta	-0.11600503608192	0.572528422989717	K50	Crohn's
ADD	Artery - Coronary	0.0302703781129649	0.888336673757781	K50	Crohn's
ADD	Cells - EBV - transformed lymphocytes	0.153670955975626	0.473424944295248	K50	Crohn's
ADD	Colon - Transverse	0.33539176410789	0.0700099274691051	K50	Crohn's
ADD	Esophagus - Mucosa	0.13085052219111	0.593377704109408	K50	Crohn's
